locationdesc,category,response,age,gender,raceethnicity,data_value(%),low_confidence_limit,high_confidence_limit,numerator,sample_size,locationid,longitude,latitude
Pennsylvania,Orbital and External Disease,Congenital anomalies,65-84 years,All genders,Unknown,0.0,0.0,1.56,160.0,230.0,42,-77.86070029399,40.793730152
Maryland,Age Related Macular Degeneration,Vision threatening stage,0-17 years,Male,Other,0.0,0.0,0.88,120.0,420.0,24,-76.60926011099,39.290580964
Hawaii,Age Related Macular Degeneration,Vision threatening stage,18 years and older,Male,North American Native,0.1,0.05,0.45,60.0,7900.0,15,-157.8577494029,21.304850435
Montana,Diabetic Eye Diseases,Non-vision threatening stage,0-17 years,Female,All races,0.01,0.0,0.03,60.0,50300.0,30,-109.4244206449,47.066528972
Nebraska,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),65 years and older,Male,"Black, non-Hispanic",0.0,0.0,5.06,30.0,70.0,31,-99.36572062299,41.641040988
Pennsylvania,Orbital and External Disease,Lacrimal diseases,65 years and older,All genders,All races,0.06,0.04,0.3,160.0,40200.0,42,-77.86070029399,40.793730152
District Of Columbia,Glaucoma,Other/unspecified glaucoma,All ages,All genders,"Hispanic, any race",0.0,0.0,0.06,50.0,6600.0,11,-77.03196112699,38.890371385
Kentucky,Cancer and Neoplasms of the Eye,Benign neoplasm,0-17 years,Female,"Black, non-Hispanic",0.04,0.02,0.06,10.0,35400.0,21,-84.77497104799,37.645970271
Minnesota,Age Related Macular Degeneration,Choroidal neovascularization,All ages,Female,"Hispanic, any race",0.1,0.06,0.4,80.0,13100.0,27,-94.79420050299,46.355648736
Rhode Island,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),0-17 years,All genders,Unknown,0.0,0.0,0.0,100.0,75700.0,44,-71.52247031399,41.708280193
South Carolina,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,65-84 years,Male,North American Native,0.01,0.0,0.48,90.0,5600.0,45,-81.04537120699,33.998821303
Iowa,Other Retinal Disorders,Other/unspecified other retinal disorders,All ages,All genders,"White, non-Hispanic",0.28,0.27,0.3,960.0,337900.0,19,-93.81649055599,42.469400913
Maryland,Age Related Macular Degeneration,Dry-form age-related macular degeneration,65-84 years,Female,Asian,0.06,0.04,0.38,120.0,27500.0,24,-76.60926011099,39.290580964
Arkansas,Other Retinal Disorders,Central retinal vein occlusion,40-64 years,All genders,"White, non-Hispanic",0.01,0.01,0.02,10.0,98400.0,5,-92.27449074299,34.748650124
Puerto Rico,Age Related Macular Degeneration,Wet-form age-related macular degeneration,65 years and older,Female,North American Native,0.01,0.0,0.26,90.0,15100.0,72,-66.590149,18.220833
Georgia,Other Eye Disorders,Other eye disorders,85 years and older,All genders,All races,1.94,1.13,3.09,20.0,880.0,13,-83.62758034599,32.839681093
New Mexico,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,18-39 years,Female,All races,0.79,0.75,0.84,1200.0,147600.0,35,-106.2405809849,34.520880952
Wyoming,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,0-17 years,Male,Asian,0.0,0.0,1.92,20.0,210.0,56,-108.1098303529,43.235541343
Wyoming,"Injury, Burns and Surgical Complications of the Eye",Ocular injury,18 years and older,Female,"White, non-Hispanic",0.0,0.0,3.05,20.0,120.0,56,-108.1098303529,43.235541343
New Jersey,Age Related Macular Degeneration,Early stage age-related macular degeneration,40-64 years,All genders,Unknown,0.41,0.35,0.47,180.0,44900.0,34,-74.27369128799,40.130570048
Virginia,Infectious and Inflammatory Diseases,Keratitis,65 years and older,All genders,"Black, non-Hispanic",0.77,0.49,1.15,20.0,3000.0,51,-78.45789046299,37.542680674
Maine,Infectious and Inflammatory Diseases,Endophthalmitis,All ages,All genders,"Black, non-Hispanic",0.01,0.0,0.72,50.0,1400.0,23,-68.98503133599,45.254228894
Arizona,Cornea Disorders,Keratoconus,18-39 years,Male,All races,0.06,0.06,0.07,170.0,262600.0,4,-111.7638112769,34.86597028
Puerto Rico,Orbital and External Disease,All Orbital and external disease,65-84 years,Female,All races,1.57,1.38,1.78,240.0,15100.0,72,-66.590149,18.220833
Mississippi,Age Related Macular Degeneration,Choroidal neovascularization,All ages,All genders,"Hispanic, any race",0.0,0.0,0.09,90.0,4100.0,28,-89.53803082499,32.745510099
South Dakota,Other Retinal Disorders,Myopic degeneration,40-64 years,Male,"Hispanic, any race",0.0,0.0,5.52,40.0,70.0,46,-100.3735306369,44.353130053
Ohio,Glaucoma,Secondary glaucoma,18 years and older,Female,"White, non-Hispanic",0.02,0.02,0.03,120.0,531800.0,39,-82.40426005599,40.060210141
Puerto Rico,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,18-39 years,All genders,"Black, non-Hispanic",0.0,0.0,4.99,90.0,70.0,72,-66.590149,18.220833
Maine,Infectious and Inflammatory Diseases,Infectious diseases,85 years and older,All genders,"Black, non-Hispanic",0.01,0.0,0.72,50.0,1400.0,23,-68.98503133599,45.254228894
California,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),All ages,All genders,"Black, non-Hispanic",0.02,0.01,0.02,140.0,921600.0,6,-120.9999995379,37.638640123
Maryland,"Injury, Burns and Surgical Complications of the Eye",Ocular injury,40 years and older,Male,Unknown,1.23,1.1,1.37,320.0,26300.0,24,-76.60926011099,39.290580964
California,Other Eye Disorders,Other eye disorders,0-17 years,Female,"Hispanic, any race",0.61,0.6,0.62,8400.0,1378500.0,6,-120.9999995379,37.638640123
California,Age Related Macular Degeneration,Early stage age-related macular degeneration,40-64 years,All genders,Other,0.09,0.04,0.15,10.0,12900.0,6,-120.9999995379,37.638640123
Georgia,Disorders of Optic Nerve and Visual Pathways,Disorders of the visual pathway and visual cortex,65 years and older,All genders,North American Native,0.03,0.02,0.47,90.0,7000.0,13,-83.62758034599,32.839681093
New Jersey,Age Related Macular Degeneration,Vision threatening stage,All ages,Male,North American Native,0.0,0.0,0.15,120.0,2400.0,34,-74.27369128799,40.130570048
Nevada,Diabetic Eye Diseases,All Diabetic eye diseases,18-39 years,Male,Unknown,0.18,0.06,0.41,70.0,2800.0,32,-117.0718405639,39.49324039
Rhode Island,Diabetic Eye Diseases,Vision threatening stage,40-64 years,Male,All races,0.79,0.68,0.91,200.0,25200.0,44,-71.52247031399,41.708280193
Delaware,Other Visual Disturbances,Night blindness,65 years and older,All genders,"Hispanic, any race",0.0,0.0,7.25,60.0,50.0,10,-75.57774116799,39.008830667
Oregon,Other Visual Disturbances,Night blindness,0-17 years,All genders,Other,0.0,0.0,0.14,70.0,2500.0,41,-120.1550313259,44.567449424
National,Orbital and External Disease,All Orbital and external disease,0-17 years,Female,"Hispanic, any race",0.91,0.9,0.91,39600.0,4374700.0,59,-93.23609634939444,40.43953357133333
South Dakota,Orbital and External Disease,Dry eye syndrome,All ages,All genders,"White, non-Hispanic",0.26,0.22,0.31,140.0,51600.0,46,-100.3735306369,44.353130053
Delaware,Orbital and External Disease,Lacrimal diseases,40 years and older,Female,North American Native,0.02,0.01,0.89,60.0,3400.0,10,-75.57774116799,39.008830667
Pennsylvania,"Injury, Burns and Surgical Complications of the Eye",Surgical complication of the eye,40-64 years,Female,All races,0.04,0.04,0.05,150.0,342900.0,42,-77.86070029399,40.793730152
Massachusetts,Other Visual Disturbances,Other/unspecified visual disturbances,65 years and older,All genders,North American Native,0.13,0.09,0.45,110.0,20200.0,25,-72.08269067499,42.27687047
New Mexico,Other Visual Disturbances,Night blindness,18-39 years,Male,All races,0.0,0.0,0.01,80.0,112100.0,35,-106.2405809849,34.520880952
Tennessee,Cornea Disorders,All Cornea disorders,All ages,Male,All races,0.1,0.1,0.11,580.0,563300.0,47,-85.77449091399,35.68094058
Washington,Diabetic Eye Diseases,Non-vision threatening stage,65 years and older,Male,All races,1.62,1.02,2.45,20.0,1400.0,53,-120.4700107899,47.522278629
District Of Columbia,Diabetic Eye Diseases,Non-vision threatening stage,18 years and older,Female,"Hispanic, any race",0.17,0.04,0.5,50.0,1700.0,11,-77.03196112699,38.890371385
Florida,Diabetic Eye Diseases,Non-vision threatening stage,40 years and older,Female,North American Native,0.0,0.0,0.64,100.0,570.0,12,-81.92896053899,28.932040377
Texas,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,40-64 years,Male,North American Native,0.0,0.0,2.74,120.0,130.0,48,-99.42677020599,31.827240407
Oregon,Diabetic Eye Diseases,Non-proliferative,18-39 years,All genders,"White, non-Hispanic",0.1,0.09,0.12,160.0,160500.0,41,-120.1550313259,44.567449424
Arizona,Glaucoma,Secondary glaucoma,18 years and older,All genders,Unknown,0.02,0.01,0.03,50.0,278400.0,4,-111.7638112769,34.86597028
Colorado,Cancer and Neoplasms of the Eye,Malignant neoplasm,65-84 years,All genders,Asian,0.0,0.0,0.73,80.0,500.0,8,-106.1336109209,38.843840757
Mississippi,Age Related Macular Degeneration,Unspecified-age related macular degeneration,65-84 years,All genders,"White, non-Hispanic",0.0,0.0,4.51,90.0,80.0,28,-89.53803082499,32.745510099
Arkansas,Orbital and External Disease,All Orbital and external disease,All ages,All genders,"Black, non-Hispanic",0.02,0.01,0.28,90.0,21300.0,5,-92.27449074299,34.748650124
Idaho,Diabetic Eye Diseases,Proliferative diabetic retinopathy,18-39 years,Female,North American Native,0.0,0.0,0.32,60.0,1100.0,16,-114.3637300419,43.682630005
New Jersey,Other Visual Disturbances,Other/unspecified visual disturbances,18 years and older,Female,"White, non-Hispanic",1.11,1.06,1.15,2200.0,197800.0,34,-74.27369128799,40.130570048
New York,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,40 years and older,All genders,"Black, non-Hispanic",1.06,1.02,1.11,2700.0,249200.0,36,-75.54397042699,42.827001032
Florida,Age Related Macular Degeneration,Early stage age-related macular degeneration,18 years and older,Female,"White, non-Hispanic",0.03,0.03,0.04,80.0,258700.0,12,-81.92896053899,28.932040377
Maryland,Cornea Disorders,All Cornea disorders,18-39 years,Male,Unknown,0.17,0.13,0.21,60.0,38400.0,24,-76.60926011099,39.290580964
Iowa,Other Retinal Disorders,All Other retinal disorders,40 years and older,Male,Unknown,1.01,0.84,1.21,120.0,11900.0,19,-93.81649055599,42.469400913
Louisiana,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,0-17 years,Female,"Black, non-Hispanic",0.03,0.02,0.04,30.0,112500.0,22,-92.44568007099,31.312660644
Kentucky,Cornea Disorders,Other corneal disorders,40-64 years,Male,North American Native,0.0,0.0,3.52,90.0,100.0,21,-84.77497104799,37.645970271
Iowa,Orbital and External Disease,Other/unspecified orbital and external disease,40-64 years,All genders,"White, non-Hispanic",0.05,0.03,0.07,40.0,73500.0,19,-93.81649055599,42.469400913
Oklahoma,Age Related Macular Degeneration,Choroidal neovascularization,All ages,Female,Other,0.0,0.0,0.21,60.0,1700.0,40,-97.52107021399,35.472031356
Nevada,Age Related Macular Degeneration,Wet-form age-related macular degeneration,40-64 years,All genders,North American Native,0.0,0.0,0.14,70.0,2600.0,32,-117.0718405639,39.49324039
Hawaii,Glaucoma,Suspect or unclassified glaucoma,40-64 years,Female,Unknown,2.27,1.93,2.64,160.0,7200.0,15,-157.8577494029,21.304850435
Wyoming,Age Related Macular Degeneration,Early stage age-related macular degeneration,18-39 years,All genders,"Hispanic, any race",0.0,0.0,6.49,20.0,60.0,56,-108.1098303529,43.235541343
Ohio,Glaucoma,Glaucoma suspect,0-17 years,All genders,"Black, non-Hispanic",0.17,0.16,0.19,610.0,352800.0,39,-82.40426005599,40.060210141
Massachusetts,Orbital and External Disease,Eyelid disorders,All ages,Male,Unknown,0.4,0.38,0.42,1200.0,297900.0,25,-72.08269067499,42.27687047
Texas,Cancer and Neoplasms of the Eye,Benign neoplasm,18-39 years,Female,"White, non-Hispanic",0.06,0.05,0.08,80.0,125800.0,48,-99.42677020599,31.827240407
Georgia,Age Related Macular Degeneration,Early stage age-related macular degeneration,40 years and older,Female,Unknown,0.22,0.16,0.3,40.0,18400.0,13,-83.62758034599,32.839681093
District Of Columbia,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),All ages,Male,Unknown,0.04,0.02,0.07,10.0,33200.0,11,-77.03196112699,38.890371385
North Carolina,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,85 years and older,All genders,North American Native,0.06,0.03,0.33,70.0,8700.0,37,-79.15925046299,35.466220975
South Carolina,Disorders of Optic Nerve and Visual Pathways,Disorders of the visual pathway and visual cortex,65 years and older,Female,Asian,0.01,0.0,0.48,90.0,5600.0,45,-81.04537120699,33.998821303
Wyoming,Age Related Macular Degeneration,Dry-form age-related macular degeneration,All ages,Female,Asian,0.0,0.0,1.92,20.0,210.0,56,-108.1098303529,43.235541343
Hawaii,Cornea Disorders,Keratoconus,18 years and older,All genders,North American Native,0.15,0.05,0.36,60.0,3300.0,15,-157.8577494029,21.304850435
Michigan,Other Retinal Disorders,Non-Occlusive retinal vascular disease,40-64 years,Female,"Hispanic, any race",0.56,0.43,0.72,60.0,10500.0,26,-84.71439026999,44.661319543
North Dakota,Disorders of Optic Nerve and Visual Pathways,Disorders of the visual pathway and visual cortex,18 years and older,Female,"White, non-Hispanic",0.0,0.0,0.02,30.0,17500.0,38,-100.1184210489,47.475319779
Maine,Cornea Disorders,Cornea disorder related to contact lens,40-64 years,Male,"Hispanic, any race",0.01,0.0,0.72,50.0,1400.0,23,-68.98503133599,45.254228894
Arkansas,Infectious and Inflammatory Diseases,Other/unspecified infectious and inflammatory diseases,18-39 years,Female,"Hispanic, any race",0.11,0.08,0.15,50.0,44600.0,5,-92.27449074299,34.748650124
Montana,Diabetic Eye Diseases,Non-vision threatening stage,40-64 years,Female,North American Native,1.05,0.77,1.39,50.0,4600.0,30,-109.4244206449,47.066528972
Virginia,Other Retinal Disorders,Central retinal vein occlusion,40 years and older,Male,Other,0.0,0.0,1.36,70.0,270.0,51,-78.45789046299,37.542680674
Indiana,Orbital and External Disease,Eyelid disorders,18-39 years,Male,All races,0.07,0.06,0.09,110.0,150500.0,18,-86.14996019399,39.766910452
Pennsylvania,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),40 years and older,All genders,All races,0.37,0.36,0.39,2300.0,624600.0,42,-77.86070029399,40.793730152
Michigan,Age Related Macular Degeneration,Geographic atrophy,All ages,All genders,Unknown,0.01,0.0,0.01,10.0,191900.0,26,-84.71439026999,44.661319543
Oklahoma,Age Related Macular Degeneration,Advanced GA or Inactive CNV,All ages,Male,"White, non-Hispanic",0.0,0.0,0.01,60.0,148100.0,40,-97.52107021399,35.472031356
North Carolina,Cornea Disorders,All Cornea disorders,40 years and older,Female,Asian,0.34,0.13,0.74,70.0,1800.0,37,-79.15925046299,35.466220975
Missouri,Other Retinal Disorders,Other/unspecified other retinal disorders,40-64 years,All genders,All races,0.72,0.67,0.78,650.0,90900.0,29,-92.56630005299,38.635790776
Oklahoma,Retinal Detachment and Defects,Retinal detachment and defects,All ages,Male,All races,0.04,0.03,0.04,130.0,349000.0,40,-97.52107021399,35.472031356
Maine,Cornea Disorders,All Cornea disorders,40 years and older,Male,All races,0.36,0.28,0.46,70.0,17900.0,23,-68.98503133599,45.254228894
Idaho,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,85 years and older,Female,"White, non-Hispanic",0.02,0.01,0.87,60.0,1600.0,16,-114.3637300419,43.682630005
Michigan,Age Related Macular Degeneration,Choroidal neovascularization,All ages,All genders,"Hispanic, any race",0.0,0.0,0.01,110.0,159000.0,26,-84.71439026999,44.661319543
Arizona,Diabetic Eye Diseases,Diabetic macular edema,85 years and older,Male,"White, non-Hispanic",0.1,0.06,0.34,90.0,13400.0,4,-111.7638112769,34.86597028
Kentucky,Disorders of Optic Nerve and Visual Pathways,Disorders of the visual pathway and visual cortex,65-84 years,Female,"Hispanic, any race",0.0,0.0,2.17,90.0,170.0,21,-84.77497104799,37.645970271
Texas,Diabetic Eye Diseases,Proliferative diabetic retinopathy,40 years and older,Female,Unknown,0.86,0.74,1.0,180.0,20600.0,48,-99.42677020599,31.827240407
Georgia,"Injury, Burns and Surgical Complications of the Eye",Ocular burns,18 years and older,Male,"Hispanic, any race",0.03,0.02,0.47,90.0,7000.0,13,-83.62758034599,32.839681093
New Hampshire,Other Visual Disturbances,All Other visual disturbances,40-64 years,All genders,"Black, non-Hispanic",2.56,1.59,3.89,20.0,820.0,33,-71.50036091999,43.655950113
Hawaii,Age Related Macular Degeneration,Geographic atrophy,0-17 years,Male,"White, non-Hispanic",0.0,0.0,0.04,60.0,8600.0,15,-157.8577494029,21.304850435
Connecticut,Other Visual Disturbances,Night blindness,65 years and older,All genders,North American Native,0.0,0.0,7.55,100.0,50.0,9,-72.64984095199,41.56266102
North Carolina,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),85 years and older,All genders,All races,4.72,3.41,6.35,40.0,870.0,37,-79.15925046299,35.466220975
Virginia,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,85 years and older,Male,Other,0.07,0.04,0.36,70.0,8800.0,51,-78.45789046299,37.542680674
Virginia,Age Related Macular Degeneration,Unspecified-age related macular degeneration,40 years and older,All genders,"White, non-Hispanic",0.02,0.02,0.03,30.0,129100.0,51,-78.45789046299,37.542680674
District Of Columbia,Age Related Macular Degeneration,Wet-form age-related macular degeneration,0-17 years,Female,All races,0.0,0.0,0.01,50.0,40700.0,11,-77.03196112699,38.890371385
Connecticut,Other Eye Disorders,Other eye disorders,18-39 years,Male,North American Native,0.79,0.29,1.72,100.0,760.0,9,-72.64984095199,41.56266102
Hawaii,Cornea Disorders,Cornea disorder related to contact lens,65 years and older,Female,"White, non-Hispanic",0.0,0.0,2.18,60.0,170.0,15,-157.8577494029,21.304850435
National,Other Retinal Disorders,Branch retinal vein occlusion,18 years and older,All genders,"White, non-Hispanic",0.02,0.02,0.02,2900.0,13754900.0,59,-93.23609634939444,40.43953357133333
West Virginia,Other Retinal Disorders,Non-Occlusive retinal vascular disease,18-39 years,All genders,Unknown,0.03,0.02,0.05,20.0,55700.0,54,-80.71264013499,38.665510202
District Of Columbia,Other Retinal Disorders,Other/unspecified other retinal disorders,18-39 years,Male,"Black, non-Hispanic",0.14,0.1,0.19,40.0,27400.0,11,-77.03196112699,38.890371385
Nevada,Cornea Disorders,Cornea disorder related to contact lens,85 years and older,Female,Other,0.07,0.04,0.26,70.0,11400.0,32,-117.0718405639,39.49324039
Massachusetts,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,65 years and older,All genders,"Hispanic, any race",3.29,1.08,7.51,110.0,150.0,25,-72.08269067499,42.27687047
Indiana,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,65 years and older,Female,All races,0.07,0.01,0.2,70.0,4400.0,18,-86.14996019399,39.766910452
Maryland,Other Retinal Disorders,Occlusive retinal vascular disease,40-64 years,Male,"Hispanic, any race",0.06,0.04,0.38,120.0,27500.0,24,-76.60926011099,39.290580964
New York,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),18 years and older,Female,All races,0.44,0.43,0.45,7800.0,1768800.0,36,-75.54397042699,42.827001032
Tennessee,Diabetic Eye Diseases,All Diabetic eye diseases,40-64 years,All genders,Unknown,1.15,1.1,1.2,2000.0,175800.0,47,-85.77449091399,35.68094058
North Dakota,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,0-17 years,Female,"Black, non-Hispanic",0.39,0.19,0.71,30.0,2600.0,38,-100.1184210489,47.475319779
Wyoming,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),40-64 years,Male,Asian,0.0,0.0,1.92,20.0,210.0,56,-108.1098303529,43.235541343
Ohio,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,85 years and older,Male,Unknown,0.0,0.0,9.0299999999,130.0,40.0,39,-82.40426005599,40.060210141
Illinois,"Injury, Burns and Surgical Complications of the Eye","All Injury, burns and surgical complications of the eye",0-17 years,All genders,Asian,0.62,0.54,0.7,220.0,35900.0,17,-88.99771017799,40.485010283
National,Age Related Macular Degeneration,Vision threatening stage,85 years and older,Female,"Hispanic, any race",1.74,1.51,2.0,200.0,11700.0,59,-93.23609634939444,40.43953357133333
Pennsylvania,Infectious and Inflammatory Diseases,Endophthalmitis,18 years and older,Female,"Black, non-Hispanic",0.03,0.02,0.04,60.0,226900.0,42,-77.86070029399,40.793730152
Illinois,Age Related Macular Degeneration,Dry-form age-related macular degeneration,0-17 years,All genders,Asian,0.0,0.0,0.01,120.0,35900.0,17,-88.99771017799,40.485010283
Oregon,Glaucoma,Other/unspecified glaucoma,All ages,Female,Asian,0.05,0.02,0.12,70.0,11300.0,41,-120.1550313259,44.567449424
Virginia,Diabetic Eye Diseases,Other diabetes related eye disorders,18 years and older,Male,"White, non-Hispanic",0.16,0.14,0.19,190.0,120700.0,51,-78.45789046299,37.542680674
Connecticut,Diabetic Eye Diseases,Non-proliferative,18 years and older,Male,North American Native,0.45,0.17,0.98,100.0,1300.0,9,-72.64984095199,41.56266102
Maryland,Retinal Detachment and Defects,Retinal detachment and defects,All ages,All genders,North American Native,0.12,0.05,0.26,120.0,5600.0,24,-76.60926011099,39.290580964
District Of Columbia,Other Visual Disturbances,All Other visual disturbances,65 years and older,Male,North American Native,0.0,0.0,0.7,50.0,1300.0,11,-77.03196112699,38.890371385
New Hampshire,Glaucoma,Other/unspecified glaucoma,18-39 years,All genders,Unknown,0.01,0.0,0.76,40.0,1200.0,33,-71.50036091999,43.655950113
Hawaii,Diabetic Eye Diseases,Non-vision threatening stage,65 years and older,Female,All races,1.66,1.07,2.47,20.0,1400.0,15,-157.8577494029,21.304850435
Pennsylvania,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,65-84 years,Female,Other,0.06,0.04,0.3,160.0,40200.0,42,-77.86070029399,40.793730152
Puerto Rico,Orbital and External Disease,Other/unspecified orbital and external disease,85 years and older,Female,"Hispanic, any race",0.0,0.0,0.23,90.0,1600.0,72,-66.590149,18.220833
New Hampshire,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,18 years and older,Female,"White, non-Hispanic",0.73,0.66,0.81,360.0,48800.0,33,-71.50036091999,43.655950113
South Carolina,Age Related Macular Degeneration,Unspecified-age related macular degeneration,40 years and older,All genders,"Black, non-Hispanic",0.01,0.0,0.03,90.0,30600.0,45,-81.04537120699,33.998821303
New York,Age Related Macular Degeneration,Choroidal neovascularization,40 years and older,All genders,Unknown,0.03,0.02,0.04,110.0,362900.0,36,-75.54397042699,42.827001032
Nebraska,Diabetic Eye Diseases,All Diabetic eye diseases,85 years and older,Male,All races,0.0,0.0,0.68,30.0,1900.0,31,-99.36572062299,41.641040988
Illinois,Orbital and External Disease,Eyelid disorders,40-64 years,Female,All races,0.64,0.61,0.67,1800.0,285600.0,17,-88.99771017799,40.485010283
Texas,Other Retinal Disorders,Central retinal vein occlusion,40-64 years,Female,"Black, non-Hispanic",0.04,0.02,0.08,10.0,29400.0,48,-99.42677020599,31.827240407
New York,Age Related Macular Degeneration,Advanced GA or Inactive CNV,65 years and older,Female,Asian,0.2,0.13,0.3,30.0,12700.0,36,-75.54397042699,42.827001032
Michigan,Infectious and Inflammatory Diseases,All Infectious and inflammatory diseases,18-39 years,All genders,North American Native,2.75,2.37,3.18,180.0,6600.0,26,-84.71439026999,44.661319543
Indiana,Cornea Disorders,Endothelial dystrophy (Fuchs),65 years and older,Female,All races,0.04,0.02,0.33,70.0,15400.0,18,-86.14996019399,39.766910452
Maine,Other Retinal Disorders,Branch retinal artery occlusion,40-64 years,Female,"Hispanic, any race",0.0,0.0,1.36,50.0,270.0,23,-68.98503133599,45.254228894
Iowa,Age Related Macular Degeneration,Non-vision threatening stage,40-64 years,All genders,"Black, non-Hispanic",0.26,0.17,0.39,30.0,9900.0,19,-93.81649055599,42.469400913
Virginia,Infectious and Inflammatory Diseases,Keratitis,0-17 years,Male,Other,0.13,0.03,0.32,70.0,3200.0,51,-78.45789046299,37.542680674
Iowa,Other Retinal Disorders,Occlusive retinal vascular disease,85 years and older,All genders,All races,0.07,0.03,0.28,70.0,11900.0,19,-93.81649055599,42.469400913
Texas,Age Related Macular Degeneration,Advanced GA or Inactive CNV,40 years and older,Female,"Hispanic, any race",0.04,0.03,0.06,20.0,50700.0,48,-99.42677020599,31.827240407
Puerto Rico,Other Retinal Disorders,All Other retinal disorders,65-84 years,Male,"Black, non-Hispanic",0.01,0.0,0.26,90.0,15100.0,72,-66.590149,18.220833
Texas,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),40-64 years,Male,Other,0.0,0.0,0.79,120.0,460.0,48,-99.42677020599,31.827240407
New York,"Injury, Burns and Surgical Complications of the Eye","All Injury, burns and surgical complications of the eye",0-17 years,All genders,Asian,0.88,0.84,0.93,1600.0,175700.0,36,-75.54397042699,42.827001032
